"","Group.1","TotalCorolla","EffectiveCorolla","Corolla.Width"
" oblongicalyx"," oblongicalyx",54.07,52.9,5.38
" pink ms"," pink ms",25.43,22.3566666666667,2.58666666666667
" sp."," sp.",20.4518181818182,16.7181818181818,2.49545454545455
"Alloplectus","Alloplectus",51.588,41.928,4.896
"Alloplectus tetragonoides","Alloplectus tetragonoides",37.87,28.525,3.36
"Alloplectus teuscheri","Alloplectus teuscheri",21.404,15.398,2.988
"Begonia longirostris","Begonia longirostris",14.816,12.078,3.644
"Besleria angustiflora","Besleria angustiflora",15.7775,12.6775,3.1875
"Besleria solanoides","Besleria solanoides",16.2295238095238,11.1033333333333,3.01619047619048
"Bomarea multiflora","Bomarea multiflora",28.4425,26.1,4.475
"Bomarea pardina","Bomarea pardina",53.435,51.895,13.855
"Burmesteria nigricans","Burmesteria nigricans",16.19,13.52,2.6
"Centropogon preslii","Centropogon preslii",17.415,14.11,2.955
"Centropogon solanifolius","Centropogon solanifolius",51.47528,43.1704,4.3044
"Clusia","Clusia",5.84,4.25,2.695
"Columnea ciliata","Columnea ciliata",48.22,42.5166666666667,6.78
"Columnea kucyniakii","Columnea kucyniakii",39.1,33.4,7.6
"Columnea mastersonii","Columnea mastersonii",43.3938461538462,35.5653846153846,4.38615384615385
"Columnea medicinalis","Columnea medicinalis",39.0536363636364,31.8133333333333,10.4981818181818
"Columnea picta","Columnea picta",28.8316666666667,22.5485416666667,4.77979166666667
"Columnea strigosa","Columnea strigosa",45.6466666666667,33.6177777777778,9.98
"Costa","Costa",24.005,19.505,4.435
"Drymonia","Drymonia",34.42,26.0225,3.31166666666667
"Drymonia tenuis","Drymonia tenuis",23.12,13.5475,3.605
"Drymonia teuscheri","Drymonia teuscheri",23.64,18.22,3.09857142857143
"Erythrina megistophylla","Erythrina megistophylla",15.37,6.97,10.22
"Faramea calyptrata","Faramea calyptrata",20.08,NA,NA
"Fuchsia macrostigma","Fuchsia macrostigma",70.5483333333333,63.7533333333333,6.36333333333333
"Gasteranthus lateralis","Gasteranthus lateralis",26,18,NA
"Gasteranthus leopardus","Gasteranthus leopardus",44.005,32.97,12.19
"Gasteranthus quitensis","Gasteranthus quitensis",15.6445454545455,12.2236363636364,3.4706976744186
"Glossoloma oblongicalyx","Glossoloma oblongicalyx",52.58,42.165,4.3745
"Glossoloma purpureum","Glossoloma purpureum",48.1851515151515,38.9615151515152,4.04787878787879
"Guzmania amplectens","Guzmania amplectens",53,56,12.5
"Guzmania jaramilloi","Guzmania jaramilloi",30.435,26.1825,4.3225
"Heliconia burleana","Heliconia burleana",33.115,23.2664285714286,2.02714285714286
"Heliconia griggsiana","Heliconia griggsiana",50.985,41.69,5.52
"Heliconia impudica","Heliconia impudica",17.7105882352941,13.6452941176471,2.21823529411765
"Heliconia virginalis","Heliconia virginalis",19.5221052631579,15.9952631578947,3.01947368421053
"Kohleria affinis","Kohleria affinis",39,39,NA
"Macleania bullata","Macleania bullata",40.5933333333333,37.35,3.78333333333333
"Macleania macrantha","Macleania macrantha",39,39,NA
"Macleania stricta","Macleania stricta",20.3965217391304,16.7908695652174,3.13818181818182
"Meriania tomentosa","Meriania tomentosa",15,NA,25
"Mezobromelia capituligera","Mezobromelia capituligera",32,NA,NA
"Norantea anomala","Norantea anomala",10,NA,8
"Palicourea acetosoides","Palicourea acetosoides",22.9544,18.6612,2.6984
"Palicourea demissa","Palicourea demissa",19.7868085106383,14.4006382978723,3.6636170212766
"Palicourea lineata","Palicourea lineata",16.441,12.5845,3.09075
"Pitcairnia sodiroi","Pitcairnia sodiroi",48.168,39.39,6.342
"Pitcairnia squarrosa","Pitcairnia squarrosa",52,NA,NA
"Podandrogyne","Podandrogyne",6.47333333333333,4.26333333333333,1.06333333333333
"Psammisia","Psammisia",21.76,17.925,3.985
"Psammisia aberrans","Psammisia aberrans",31.3044444444444,21.8477777777778,3.31814814814815
"Psammisia sodiroi","Psammisia sodiroi",19.7335294117647,15.9314285714286,3.47485714285714
"Psammisia ulbrichiana","Psammisia ulbrichiana",28.6284375,23.658125,2.998125
"Renealmia sessilifolia","Renealmia sessilifolia",25.4133333333333,18.8841666666667,5.12333333333333
"Salvia quitensis","Salvia quitensis",24.7729411764706,19.2129411764706,3.49411764705882
"Stromanthe stromanthoides","Stromanthe stromanthoides",10.325,NA,NA
"Tillandsia complanata","Tillandsia complanata",26.1666666666667,19.63,2.49666666666667
"Wercklea ferox","Wercklea ferox",46.14,34.72,6.37
"Werklea ferox","Werklea ferox",55.165,47.9625,5.8625
