"","ID","n","first_date"
"1","FH1335",3,"2016-04-16"
"2","FH1418",1,"2016-11-17"
"3","FH1520",10,"2016-11-18"
"4","FH1521",1,"2016-11-19"
"5","FH1522",50,"2016-11-19"
"6","FH1704",3,"2016-05-27"
"7","FH1711",67,"2016-11-18"
"8","FH1811",21,"2016-11-18"
"9","FH2013",44,"2016-11-18"
"10","FH2114",1,"2016-12-15"
"11","FH2210",8,"2016-11-18"
"12","FH2492",2,"2016-04-26"
"13","FH850",3,"2016-04-12"
"14","FH852",1,"2016-04-20"
"15","MQPC2212",4,"2017-01-27"
"16","MQPC2303",9,"2017-01-27"
"17","MQPC2304",9,"2017-01-30"
"18","MQPC2501",1,"2017-01-28"
"19","MQPC2502",2,"2017-01-29"
"20","UKWN",2,"2016-04-12"
